0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:40:58 +0200] "GET /syncope-console/?2-1.IBehaviorListener.0-body-content-tabbedPanel-panel-container&_=1509798656183 HTTP/1.1" 200 3143
127.0.0.1 - - [04/Nov/2017:14:40:58 +0200] "GET /syncope/rest/userworkflow/forms HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:40:58 +0200] "GET /syncope-console/?2-1.IBehaviorListener.0-body-approvalsWidget-latestAlertsList&_=1509798656184 HTTP/1.1" 200 277
127.0.0.1 - - [04/Nov/2017:14:41:28 +0200] "GET /syncope/rest/userworkflow/forms HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:41:28 +0200] "GET /syncope-console/?2-1.IBehaviorListener.0-body-approvalsWidget-latestAlertsList&_=1509798656185 HTTP/1.1" 200 277
127.0.0.1 - - [04/Nov/2017:14:41:58 +0200] "GET /syncope/rest/numbers HTTP/1.1" 200 301
127.0.0.1 - - [04/Nov/2017:14:41:58 +0200] "GET /syncope/rest/system HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:41:58 +0200] "GET /syncope-console/?2-1.IBehaviorListener.0-body-content-tabbedPanel-panel-container&_=1509798656186 HTTP/1.1" 200 3143
127.0.0.1 - - [04/Nov/2017:14:41:58 +0200] "GET /syncope/rest/userworkflow/forms HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:41:58 +0200] "GET /syncope-console/?2-1.IBehaviorListener.0-body-approvalsWidget-latestAlertsList&_=1509798656187 HTTP/1.1" 200 277
127.0.0.1 - - [04/Nov/2017:14:42:28 +0200] "GET /syncope/rest/userworkflow/forms HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:42:28 +0200] "GET /syncope-console/?2-1.IBehaviorListener.0-body-approvalsWidget-latestAlertsList&_=1509798656188 HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:42:58 +0200] "GET /syncope/swagger HTTP/1.1" 302 -
127.0.0.1 - - [04/Nov/2017:14:42:58 +0200] "GET /syncope/rest/numbers HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:42:58 +0200] "GET /syncope/swagger/ HTTP/1.1" 200 6393
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:42:58 +0200] "GET /syncope/swagger/css/typography.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:42:58 +0200] "GET /syncope/swagger/lib/jquery-1.8.0.min.js HTTP/1.1" 200 92032
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:42:58 +0200] "GET /syncope/swagger/lib/jquery.slideto.min.js HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:42:58 +0200] "GET /syncope/swagger/lib/jquery.wiggle.min.js HTTP/1.1" 200 536
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:42:58 +0200] "GET /syncope/swagger/lib/jquery.ba-bbq.min.js HTTP/1.1" 200 3518
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:42:58 +0200] "GET /syncope/swagger/lib/handlebars-4.0.5.js HTTP/1.1" 200 71504
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:42:58 +0200] "GET /syncope/swagger/lib/lodash.min.js HTTP/1.1" 200 51894
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:42:58 +0200] "GET /syncope/swagger/css/reset.css HTTP/1.1" 200 773
127.0.0.1 - - [04/Nov/2017:14:42:58 +0200] "GET /syncope/rest/system HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:42:58 +0200] "GET /syncope/swagger/css/print.css HTTP/1.1" 200 41666
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:42:58 +0200] "GET /syncope/swagger/lib/object-assign-pollyfill.js HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:42:58 +0200] "GET /syncope/swagger/css/screen.css HTTP/1.1" 200 43644
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:42:58 +0200] "GET /syncope/swagger/lib/highlight.9.1.0.pack_extended.js HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:42:58 +0200] "GET /syncope/swagger/lib/jsoneditor.min.js HTTP/1.1" 200 129835
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:42:58 +0200] "GET /syncope/swagger/lib/marked.js HTTP/1.1" 200 15724
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:42:58 +0200] "GET /syncope-console/?2-1.IBehaviorListener.0-body-content-tabbedPanel-panel-container&_=1509798656189 HTTP/1.1" 200 3143
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:42:58 +0200] "GET /syncope/swagger/lib/swagger-oauth.js HTTP/1.1" 200 7042
